peerURI,serverName,host,machine,"search_group","__mv_peerURI","__mv_serverName","__mv_host","__mv_machine","__mv_search_group"
localhost,"ip-172-31-51-211.ec2.internal","ip-172-31-51-211.ec2.internal","ip-172-31-51-211.ec2.internal","dmc_group_indexer",,,,,
localhost,"ip-172-31-51-211.ec2.internal","ip-172-31-51-211.ec2.internal","ip-172-31-51-211.ec2.internal","dmc_group_kv_store",,,,,
localhost,"ip-172-31-51-211.ec2.internal","ip-172-31-51-211.ec2.internal","ip-172-31-51-211.ec2.internal","dmc_group_license_master",,,,,
localhost,"ip-172-31-51-211.ec2.internal","ip-172-31-51-211.ec2.internal","ip-172-31-51-211.ec2.internal","dmc_group_search_head",,,,,
